WEEK,LOCATION,SPECIES,MON_EGG_TOT,MON_LARV_TOT,MYZ_ASC,APH_NER,APH_ASC,APH_TOT,FOR_SUB,FOR_PAL,FOR_TOT,LAS_NEO,LAS_TOT,TET_IMM,CRE_CER,ANT_TOT,LB_TOT,PARA,LWING
5,AB,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,AB,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,AB,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,AB,SYRIACA,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0
5,AB,SYRIACA,2,0,6,0,0,6,0,0,0,2,2,0,0,2,0,0,0
5,AB,SYRIACA,1,0,7,0,0,7,0,0,0,8,8,0,0,8,0,0,0
5,AB,SYRIACA,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0
5,AB,SYRIACA,1,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0
5,AB,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,AB,TUBEROSA,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
5,AB,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,AB,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,AB,TUBEROSA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,JY,INCARNATA,0,0,10,0,0,10,1,0,1,0,0,0,0,1,0,1,1
5,JY,INCARNATA,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0
5,JY,INCARNATA,0,0,11,0,0,11,0,0,0,0,0,0,0,0,1,2,0
5,JY,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,JY,INCARNATA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,JY,SYRIACA,0,0,1170,0,0,1170,3,0,3,0,0,11,0,20,4,1,1
5,JY,SYRIACA,0,0,3510,0,0,3510,0,0,0,0,0,0,0,0,0,0,0
5,JY,SYRIACA,0,0,140,0,0,140,0,0,0,0,0,0,0,0,0,0,0
5,JY,SYRIACA,1,0,325,0,0,325,1,0,1,0,0,0,0,1,1,2,0
5,JY,SYRIACA,0,0,450,0,0,450,0,0,0,0,0,0,0,0,0,0,0
5,JY,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,JY,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,JY,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,JY,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,JY,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,LP,INCARNATA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,LP,INCARNATA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,LP,INCARNATA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,LP,INCARNATA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,LP,INCARNATA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,LP,SYRIACA,1,3,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0
5,LP,SYRIACA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,LP,SYRIACA,0,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5,LP,SYRIACA,3,0,9,0,0,9,0,0,0,0,0,0,0,3,0,0,0
5,LP,SYRIACA,2,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0
5,LP,TUBEROSA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ST,INCARNATA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5,ST,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
5,ST,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,ST,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ST,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
5,ST,SYRIACA,0,0,10,0,0,10,0,1,1,0,0,0,0,1,0,1,0
5,ST,SYRIACA,0,0,4,0,0,4,0,0,0,0,0,0,0,1,0,0,0
5,ST,SYRIACA,0,0,4,0,0,4,0,0,0,0,0,0,0,3,0,0,0
5,ST,SYRIACA,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
5,ST,SYRIACA,0,0,2,0,0,2,1,0,1,5,26,0,0,27,0,0,0
5,ST,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ST,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ST,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ST,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ST,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,SH,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
